date,symptoms of flu,isPartial
2021-09-12,13,False
2021-09-19,14,False
2021-09-26,14,False
2021-10-03,15,False
2021-10-10,15,False
2021-10-17,15,False
2021-10-24,14,False
2021-10-31,17,False
2021-11-07,16,False
2021-11-14,19,False
2021-11-21,18,False
2021-11-28,24,False
2021-12-05,25,False
2021-12-12,28,False
2021-12-19,37,False
2021-12-26,49,False
2022-01-02,49,False
2022-01-09,39,False
2022-01-16,25,False
2022-01-23,20,False
2022-01-30,15,False
2022-02-06,14,False
2022-02-13,14,False
2022-02-20,15,False
2022-02-27,14,False
2022-03-06,14,False
2022-03-13,18,False
2022-03-20,19,False
2022-03-27,18,False
2022-04-03,20,False
2022-04-10,20,False
2022-04-17,21,False
2022-04-24,20,False
2022-05-01,18,False
2022-05-08,19,False
2022-05-15,17,False
2022-05-22,16,False
2022-05-29,14,False
2022-06-05,13,False
2022-06-12,12,False
2022-06-19,11,False
2022-06-26,11,False
2022-07-03,11,False
2022-07-10,10,False
2022-07-17,9,False
2022-07-24,10,False
2022-07-31,10,False
2022-08-07,9,False
2022-08-14,9,False
2022-08-21,10,False
2022-08-28,10,False
2022-09-04,11,False
2022-09-11,13,False
2022-09-18,15,False
2022-09-25,15,False
2022-10-02,19,False
2022-10-09,22,False
2022-10-16,27,False
2022-10-23,40,False
2022-10-30,53,False
2022-11-06,51,False
2022-11-13,57,False
2022-11-20,67,False
2022-11-27,65,False
2022-12-04,61,False
2022-12-11,66,False
2022-12-18,60,False
2022-12-25,51,False
2023-01-01,36,False
2023-01-08,28,False
2023-01-15,23,False
2023-01-22,21,False
2023-01-29,21,False
2023-02-05,21,False
2023-02-12,20,False
2023-02-19,19,False
2023-02-26,18,False
2023-03-05,17,False
2023-03-12,16,False
2023-03-19,16,False
2023-03-26,13,False
2023-04-02,12,False
2023-04-09,13,False
2023-04-16,12,False
2023-04-23,11,False
2023-04-30,12,False
2023-05-07,11,False
2023-05-14,11,False
2023-05-21,10,False
2023-05-28,10,False
2023-06-04,9,False
2023-06-11,9,False
2023-06-18,8,False
2023-06-25,8,False
2023-07-02,7,False
2023-07-09,6,False
2023-07-16,7,False
2023-07-23,7,False
2023-07-30,7,False
2023-08-06,7,False
2023-08-13,8,False
2023-08-20,10,False
2023-08-27,11,False
2023-09-03,12,False
2023-09-10,13,False
2023-09-17,14,False
2023-09-24,15,False
2023-10-01,15,False
2023-10-08,17,False
2023-10-15,17,False
2023-10-22,18,False
2023-10-29,18,False
2023-11-05,22,False
2023-11-12,23,False
2023-11-19,24,False
2023-11-26,28,False
2023-12-03,30,False
2023-12-10,39,False
2023-12-17,49,False
2023-12-24,52,False
2023-12-31,44,False
2024-01-07,34,False
2024-01-14,30,False
2024-01-21,31,False
2024-01-28,30,False
2024-02-04,33,False
2024-02-11,32,False
2024-02-18,30,False
2024-02-25,26,False
2024-03-03,22,False
2024-03-10,19,False
2024-03-17,18,False
2024-03-24,16,False
2024-03-31,21,False
2024-04-07,17,False
2024-04-14,15,False
2024-04-21,17,False
2024-04-28,15,False
2024-05-05,13,False
2024-05-12,12,False
2024-05-19,13,False
2024-05-26,12,False
2024-06-02,11,False
2024-06-09,10,False
2024-06-16,10,False
2024-06-23,10,False
2024-06-30,9,False
2024-07-07,9,False
2024-07-14,9,False
2024-07-21,9,False
2024-07-28,9,False
2024-08-04,9,False
2024-08-11,10,False
2024-08-18,11,False
2024-08-25,10,False
2024-09-01,11,False
2024-09-08,13,False
2024-09-15,14,False
2024-09-22,14,False
2024-09-29,14,False
2024-10-06,15,False
2024-10-13,15,False
2024-10-20,17,False
2024-10-27,16,False
2024-11-03,14,False
2024-11-10,17,False
2024-11-17,18,False
2024-11-24,18,False
2024-12-01,23,False
2024-12-08,25,False
2024-12-15,48,False
2024-12-22,57,False
2024-12-29,64,False
2025-01-05,48,False
2025-01-12,47,False
2025-01-19,58,False
2025-01-26,84,False
2025-02-02,89,False
2025-02-09,78,False
2025-02-16,67,False
2025-02-23,53,False
2025-03-02,40,False
2025-03-09,35,False
2025-03-16,28,False
2025-03-23,25,False
2025-03-30,22,False
2025-04-06,18,False
2025-04-13,18,False
2025-04-20,17,False
2025-04-27,15,False
2025-05-04,15,False
2025-05-11,12,False
2025-05-18,13,False
2025-05-25,11,False
2025-06-01,11,False
2025-06-08,10,False
2025-06-15,9,False
2025-06-22,8,False
2025-06-29,8,False
2025-07-06,8,False
2025-07-13,8,False
2025-07-20,8,False
2025-07-27,8,False
2025-08-03,8,False
2025-08-10,9,False
2025-08-17,9,False
2025-08-24,12,False
2025-08-31,13,False
2025-09-07,13,False
2025-09-14,13,False
2025-09-21,14,False
2025-09-28,14,False
2025-10-05,15,False
2025-10-12,14,False
2025-10-19,16,False
2025-10-26,15,False
2025-11-02,17,False
2025-11-09,18,False
2025-11-16,23,False
2025-11-23,22,False
2025-11-30,33,False
2025-12-07,42,False
2025-12-14,62,False
2025-12-21,97,False
2025-12-28,100,False
2026-01-04,92,False
2026-01-11,74,False
2026-01-18,63,False
2026-01-25,66,False
2026-02-01,73,False
2026-02-08,91,False
2026-02-15,93,False
2026-02-22,71,False
2026-03-01,44,False
2026-03-08,37,False
2026-03-15,35,False
2026-03-22,30,False
2026-03-29,30,False
2026-04-05,30,False
2026-04-12,28,False
2026-04-19,28,False
2026-04-26,30,False
2026-05-03,32,False
2026-05-10,27,False
2026-05-17,28,False
2026-05-24,36,False
2026-05-31,40,False
2026-06-07,53,False
2026-06-14,57,False
2026-06-21,69,False
2026-06-28,22,False
2026-07-05,18,False
2026-07-12,25,False
2026-07-19,14,False
2026-07-26,20,False
2026-08-02,28,False
2026-08-09,17,False
2026-08-16,13,False
2026-08-23,12,False
2026-08-30,27,False
2026-09-06,29,False
2026-09-13,40,True
