date,symptoms of the flu,isPartial
2021-09-12,11,False
2021-09-19,11,False
2021-09-26,10,False
2021-10-03,12,False
2021-10-10,12,False
2021-10-17,13,False
2021-10-24,12,False
2021-10-31,14,False
2021-11-07,15,False
2021-11-14,18,False
2021-11-21,17,False
2021-11-28,19,False
2021-12-05,21,False
2021-12-12,22,False
2021-12-19,30,False
2021-12-26,35,False
2022-01-02,40,False
2022-01-09,32,False
2022-01-16,21,False
2022-01-23,18,False
2022-01-30,13,False
2022-02-06,12,False
2022-02-13,12,False
2022-02-20,12,False
2022-02-27,13,False
2022-03-06,12,False
2022-03-13,14,False
2022-03-20,16,False
2022-03-27,16,False
2022-04-03,18,False
2022-04-10,17,False
2022-04-17,18,False
2022-04-24,18,False
2022-05-01,15,False
2022-05-08,17,False
2022-05-15,15,False
2022-05-22,14,False
2022-05-29,12,False
2022-06-05,12,False
2022-06-12,9,False
2022-06-19,9,False
2022-06-26,9,False
2022-07-03,9,False
2022-07-10,9,False
2022-07-17,7,False
2022-07-24,8,False
2022-07-31,8,False
2022-08-07,8,False
2022-08-14,8,False
2022-08-21,8,False
2022-08-28,9,False
2022-09-04,10,False
2022-09-11,12,False
2022-09-18,14,False
2022-09-25,12,False
2022-10-02,17,False
2022-10-09,21,False
2022-10-16,24,False
2022-10-23,35,False
2022-10-30,44,False
2022-11-06,41,False
2022-11-13,42,False
2022-11-20,44,False
2022-11-27,52,False
2022-12-04,51,False
2022-12-11,47,False
2022-12-18,45,False
2022-12-25,34,False
2023-01-01,26,False
2023-01-08,22,False
2023-01-15,17,False
2023-01-22,16,False
2023-01-29,16,False
2023-02-05,16,False
2023-02-12,15,False
2023-02-19,15,False
2023-02-26,14,False
2023-03-05,13,False
2023-03-12,13,False
2023-03-19,14,False
2023-03-26,11,False
2023-04-02,10,False
2023-04-09,9,False
2023-04-16,11,False
2023-04-23,11,False
2023-04-30,11,False
2023-05-07,9,False
2023-05-14,9,False
2023-05-21,8,False
2023-05-28,7,False
2023-06-04,6,False
2023-06-11,6,False
2023-06-18,5,False
2023-06-25,6,False
2023-07-02,6,False
