date,tamiflu
2017-09-17,1
2017-09-24,2
2017-10-01,2
2017-10-08,2
2017-10-15,2
2017-10-22,2
2017-10-29,3
2017-11-05,3
2017-11-12,4
2017-11-19,4
2017-11-26,5
2017-12-03,6
2017-12-10,10
2017-12-17,23
2017-12-24,32
2017-12-31,33
2018-01-07,49
2018-01-14,61
2018-01-21,78
2018-01-28,100
2018-02-04,78
2018-02-11,79
2018-02-18,41
2018-02-25,24
2018-03-04,16
2018-03-11,12
2018-03-18,11
2018-03-25,11
2018-04-01,8
2018-04-08,5
2018-04-15,4
2018-04-22,4
2018-04-29,3
2018-05-06,2
2018-05-13,2
2018-05-20,1
2018-05-27,1
2018-06-03,1
2018-06-10,1
2018-06-17,1
2018-06-24,1
2018-07-01,1
2018-07-08,1
2018-07-15,1
2018-07-22,1
2018-07-29,1
2018-08-05,1
2018-08-12,1
2018-08-19,1
2018-08-26,1
2018-09-02,1
2018-09-09,1
2018-09-16,2
2018-09-23,2
2018-09-30,2
2018-10-07,2
2018-10-14,3
2018-10-21,3
2018-10-28,3
2018-11-04,3
2018-11-11,3
2018-11-18,4
2018-11-25,4
2018-12-02,5
2018-12-09,6
2018-12-16,10
2018-12-23,13
2018-12-30,11
2019-01-06,11
2019-01-13,13
2019-01-20,16
2019-01-27,22
2019-02-03,28
2019-02-10,29
2019-02-17,29
2019-02-24,26
2019-03-03,24
2019-03-10,23
2019-03-17,17
2019-03-24,14
2019-03-31,11
2019-04-07,8
2019-04-14,5
2019-04-21,4
2019-04-28,3
2019-05-05,2
2019-05-12,2
2019-05-19,2
2019-05-26,2
2019-06-02,1
2019-06-09,1
2019-06-16,1
2019-06-23,1
2019-06-30,1
2019-07-07,1
2019-07-14,1
2019-07-21,1
2019-07-28,1
2019-08-04,1
2019-08-11,1
2019-08-18,1
2019-08-25,1
2019-09-01,1
2019-09-08,1
2019-09-15,2
2019-09-22,2
2019-09-29,2
2019-10-06,3
2019-10-13,3
2019-10-20,3
2019-10-27,4
2019-11-03,5
2019-11-10,6
2019-11-17,8
2019-11-24,8
2019-12-01,9
2019-12-08,11
2019-12-15,20
2019-12-22,31
2019-12-29,28
2020-01-05,26
2020-01-12,31
2020-01-19,34
2020-01-26,41
2020-02-02,47
2020-02-09,43
2020-02-16,36
2020-02-23,34
2020-03-01,30
2020-03-08,26
2020-03-15,16
2020-03-22,8
2020-03-29,4
2020-04-05,3
2020-04-12,2
2020-04-19,2
2020-04-26,2
2020-05-03,1
2020-05-10,1
2020-05-17,1
2020-05-24,1
2020-05-31,1
2020-06-07,1
2020-06-14,1
2020-06-21,1
2020-06-28,1
2020-07-05,1
2020-07-12,1
2020-07-19,1
2020-07-26,1
2020-08-02,1
2020-08-09,1
2020-08-16,1
2020-08-23,1
2020-08-30,1
2020-09-06,1
2020-09-13,1
2020-09-20,1
2020-09-27,1
2020-10-04,1
2020-10-11,1
2020-10-18,1
2020-10-25,1
2020-11-01,1
2020-11-08,1
2020-11-15,1
2020-11-22,1
2020-11-29,1
2020-12-06,1
2020-12-13,2
2020-12-20,2
2020-12-27,1
2021-01-03,1
2021-01-10,1
2021-01-17,1
2021-01-24,1
2021-01-31,1
2021-02-07,1
2021-02-14,1
2021-02-21,1
2021-02-28,1
2021-03-07,1
2021-03-14,1
2021-03-21,1
2021-03-28,1
2021-04-04,1
2021-04-11,1
2021-04-18,1
2021-04-25,1
2021-05-02,1
2021-05-09,1
2021-05-16,1
2021-05-23,0
2021-05-30,1
2021-06-06,0
2021-06-13,1
2021-06-20,1
2021-06-27,1
2021-07-04,1
2021-07-11,1
2021-07-18,1
2021-07-25,1
2021-08-01,1
2021-08-08,1
2021-08-15,1
2021-08-22,1
2021-08-29,1
2021-09-05,1
2021-09-12,1
2021-09-19,1
2021-09-26,2
2021-10-03,1
2021-10-10,1
2021-10-17,1
2021-10-24,1
2021-10-31,2
2021-11-07,2
2021-11-14,3
2021-11-21,4
2021-11-28,4
2021-12-05,5
2021-12-12,7
2021-12-19,8
2021-12-26,7
2022-01-02,5
2022-01-09,4
2022-01-16,3
2022-01-23,3
2022-01-30,2
2022-02-06,2
2022-02-13,2
2022-02-20,3
2022-02-27,3
2022-03-06,3
2022-03-13,4
