date,the flu symptoms,isPartial
2021-09-12,13,False
2021-09-19,13,False
2021-09-26,12,False
2021-10-03,14,False
2021-10-10,15,False
2021-10-17,14,False
2021-10-24,15,False
2021-10-31,16,False
2021-11-07,18,False
2021-11-14,22,False
2021-11-21,20,False
2021-11-28,24,False
2021-12-05,25,False
2021-12-12,29,False
2021-12-19,39,False
2021-12-26,48,False
2022-01-02,51,False
2022-01-09,36,False
2022-01-16,23,False
2022-01-23,19,False
2022-01-30,15,False
2022-02-06,13,False
2022-02-13,13,False
2022-02-20,14,False
2022-02-27,14,False
2022-03-06,14,False
2022-03-13,17,False
2022-03-20,16,False
2022-03-27,18,False
2022-04-03,20,False
2022-04-10,19,False
2022-04-17,20,False
2022-04-24,20,False
2022-05-01,18,False
2022-05-08,19,False
2022-05-15,17,False
2022-05-22,16,False
2022-05-29,14,False
2022-06-05,14,False
2022-06-12,12,False
2022-06-19,11,False
2022-06-26,10,False
2022-07-03,10,False
2022-07-10,10,False
2022-07-17,9,False
2022-07-24,9,False
2022-07-31,9,False
2022-08-07,9,False
2022-08-14,9,False
2022-08-21,11,False
2022-08-28,11,False
2022-09-04,12,False
2022-09-11,13,False
2022-09-18,15,False
2022-09-25,15,False
2022-10-02,19,False
2022-10-09,25,False
2022-10-16,29,False
2022-10-23,44,False
2022-10-30,55,False
2022-11-06,52,False
2022-11-13,55,False
2022-11-20,75,False
2022-11-27,68,False
2022-12-04,67,False
2022-12-11,63,False
2022-12-18,60,False
2022-12-25,47,False
2023-01-01,34,False
2023-01-08,26,False
2023-01-15,21,False
2023-01-22,18,False
2023-01-29,18,False
2023-02-05,18,False
2023-02-12,17,False
2023-02-19,17,False
2023-02-26,15,False
2023-03-05,14,False
2023-03-12,14,False
2023-03-19,14,False
2023-03-26,13,False
2023-04-02,12,False
2023-04-09,11,False
2023-04-16,12,False
2023-04-23,11,False
2023-04-30,12,False
2023-05-07,11,False
2023-05-14,10,False
2023-05-21,10,False
2023-05-28,9,False
2023-06-04,7,False
2023-06-11,8,False
2023-06-18,6,False
2023-06-25,7,False
2023-07-02,7,False
2023-07-09,6,False
2023-07-16,7,False
2023-07-23,7,False
2023-07-30,7,False
2023-08-06,8,False
2023-08-13,8,False
2023-08-20,9,False
2023-08-27,11,False
2023-09-03,13,False
2023-09-10,13,False
2023-09-17,15,False
2023-09-24,16,False
2023-10-01,15,False
2023-10-08,17,False
2023-10-15,17,False
2023-10-22,20,False
2023-10-29,17,False
2023-11-05,24,False
2023-11-12,23,False
2023-11-19,24,False
2023-11-26,28,False
2023-12-03,32,False
2023-12-10,40,False
2023-12-17,52,False
2023-12-24,54,False
2023-12-31,43,False
2024-01-07,36,False
2024-01-14,30,False
2024-01-21,33,False
2024-01-28,32,False
2024-02-04,34,False
2024-02-11,33,False
2024-02-18,31,False
2024-02-25,27,False
2024-03-03,24,False
2024-03-10,20,False
2024-03-17,17,False
2024-03-24,17,False
2024-03-31,18,False
2024-04-07,17,False
2024-04-14,14,False
2024-04-21,15,False
2024-04-28,13,False
2024-05-05,13,False
2024-05-12,11,False
2024-05-19,12,False
2024-05-26,10,False
2024-06-02,9,False
2024-06-09,9,False
2024-06-16,9,False
2024-06-23,9,False
2024-06-30,8,False
2024-07-07,8,False
2024-07-14,9,False
2024-07-21,8,False
2024-07-28,8,False
2024-08-04,8,False
2024-08-11,9,False
2024-08-18,11,False
2024-08-25,10,False
2024-09-01,12,False
2024-09-08,12,False
2024-09-15,15,False
2024-09-22,15,False
2024-09-29,14,False
2024-10-06,15,False
2024-10-13,15,False
2024-10-20,17,False
2024-10-27,17,False
2024-11-03,17,False
2024-11-10,19,False
2024-11-17,19,False
2024-11-24,20,False
2024-12-01,22,False
2024-12-08,26,False
2024-12-15,44,False
2024-12-22,56,False
2024-12-29,58,False
2025-01-05,48,False
2025-01-12,49,False
2025-01-19,59,False
2025-01-26,86,False
2025-02-02,87,False
2025-02-09,80,False
2025-02-16,64,False
2025-02-23,52,False
2025-03-02,40,False
2025-03-09,36,False
2025-03-16,27,False
2025-03-23,23,False
2025-03-30,18,False
2025-04-06,17,False
2025-04-13,16,False
2025-04-20,16,False
2025-04-27,14,False
2025-05-04,14,False
2025-05-11,12,False
2025-05-18,11,False
2025-05-25,10,False
2025-06-01,11,False
2025-06-08,8,False
2025-06-15,7,False
2025-06-22,7,False
2025-06-29,7,False
2025-07-06,8,False
2025-07-13,8,False
2025-07-20,8,False
2025-07-27,7,False
2025-08-03,7,False
2025-08-10,9,False
2025-08-17,9,False
2025-08-24,12,False
2025-08-31,14,False
