date,the stock market today,isPartial
2021-09-12,9,False
2021-09-19,16,False
2021-09-26,11,False
2021-10-03,11,False
2021-10-10,15,False
2021-10-17,9,False
2021-10-24,8,False
2021-10-31,9,False
2021-11-07,12,False
2021-11-14,9,False
2021-11-21,23,False
2021-11-28,14,False
2021-12-05,10,False
2021-12-12,11,False
2021-12-19,22,False
2021-12-26,21,False
2022-01-02,13,False
2022-01-09,11,False
2022-01-16,26,False
2022-01-23,21,False
2022-01-30,14,False
2022-02-06,12,False
2022-02-13,15,False
2022-02-20,32,False
2022-02-27,19,False
2022-03-06,21,False
2022-03-13,17,False
2022-03-20,13,False
2022-03-27,13,False
2022-04-03,13,False
2022-04-10,23,False
2022-04-17,15,False
2022-04-24,19,False
2022-05-01,21,False
2022-05-08,23,False
2022-05-15,22,False
2022-05-22,18,False
2022-05-29,14,False
2022-06-05,15,False
2022-06-12,31,False
2022-06-19,42,False
2022-06-26,17,False
2022-07-03,13,False
2022-07-10,14,False
2022-07-17,14,False
2022-07-24,15,False
2022-07-31,13,False
2022-08-07,13,False
2022-08-14,12,False
2022-08-21,15,False
2022-08-28,13,False
2022-09-04,10,False
2022-09-11,22,False
2022-09-18,18,False
2022-09-25,18,False
2022-10-02,17,False
2022-10-09,25,False
2022-10-16,14,False
2022-10-23,15,False
2022-10-30,13,False
2022-11-06,22,False
2022-11-13,12,False
2022-11-20,17,False
2022-11-27,11,False
2022-12-04,10,False
2022-12-11,12,False
2022-12-18,14,False
2022-12-25,30,False
2023-01-01,21,False
2023-01-08,9,False
2023-01-15,17,False
2023-01-22,9,False
2023-01-29,11,False
2023-02-05,10,False
2023-02-12,10,False
2023-02-19,23,False
2023-02-26,9,False
2023-03-05,12,False
2023-03-12,17,False
2023-03-19,13,False
2023-03-26,10,False
2023-04-02,19,False
2023-04-09,10,False
2023-04-16,9,False
2023-04-23,9,False
2023-04-30,10,False
2023-05-07,9,False
2023-05-14,8,False
2023-05-21,10,False
2023-05-28,9,False
2023-06-04,8,False
2023-06-11,9,False
2023-06-18,23,False
2023-06-25,7,False
2023-07-02,18,False
2023-07-09,7,False
2023-07-16,7,False
2023-07-23,8,False
2023-07-30,9,False
2023-08-06,8,False
2023-08-13,9,False
2023-08-20,7,False
2023-08-27,7,False
2023-09-03,7,False
2023-09-10,7,False
2023-09-17,8,False
2023-09-24,8,False
2023-10-01,9,False
2023-10-08,14,False
2023-10-15,8,False
2023-10-22,9,False
2023-10-29,8,False
2023-11-05,10,False
2023-11-12,9,False
2023-11-19,17,False
2023-11-26,8,False
2023-12-03,8,False
2023-12-10,11,False
2023-12-17,14,False
2023-12-24,12,False
2023-12-31,9,False
2024-01-07,7,False
2024-01-14,14,False
2024-01-21,8,False
2024-01-28,8,False
2024-02-04,7,False
2024-02-11,11,False
2024-02-18,15,False
2024-02-25,8,False
2024-03-03,9,False
2024-03-10,8,False
2024-03-17,8,False
2024-03-24,17,False
2024-03-31,13,False
2024-04-07,10,False
2024-04-14,11,False
2024-04-21,9,False
2024-04-28,9,False
2024-05-05,6,False
2024-05-12,7,False
2024-05-19,8,False
2024-05-26,8,False
2024-06-02,8,False
2024-06-09,7,False
2024-06-16,21,False
2024-06-23,6,False
2024-06-30,17,False
2024-07-07,8,False
2024-07-14,12,False
2024-07-21,11,False
2024-07-28,14,False
2024-08-04,37,False
2024-08-11,8,False
2024-08-18,9,False
2024-08-25,8,False
2024-09-01,13,False
2024-09-08,8,False
2024-09-15,10,False
2024-09-22,7,False
2024-09-29,8,False
2024-10-06,7,False
2024-10-13,15,False
2024-10-20,9,False
2024-10-27,10,False
2024-11-03,25,False
2024-11-10,20,False
2024-11-17,8,False
2024-11-24,23,False
2024-12-01,8,False
2024-12-08,8,False
2024-12-15,23,False
2024-12-22,22,False
2024-12-29,23,False
2025-01-05,37,False
2025-01-12,9,False
2025-01-19,26,False
2025-01-26,19,False
2025-02-02,18,False
2025-02-09,9,False
2025-02-16,24,False
2025-02-23,18,False
2025-03-02,36,False
2025-03-09,48,False
2025-03-16,19,False
2025-03-23,18,False
2025-03-30,57,False
2025-04-06,100,False
2025-04-13,42,False
2025-04-20,33,False
2025-04-27,21,False
2025-05-04,19,False
2025-05-11,21,False
2025-05-18,20,False
2025-05-25,15,False
2025-06-01,15,False
2025-06-08,15,False
2025-06-15,26,False
2025-06-22,19,False
2025-06-29,33,False
2025-07-06,17,False
2025-07-13,19,False
2025-07-20,26,False
2025-07-27,54,False
2025-08-03,25,False
2025-08-10,23,False
2025-08-17,27,False
2025-08-24,20,False
2025-08-31,20,False
2025-09-07,16,False
2025-09-14,17,False
2025-09-21,22,False
2025-09-28,18,False
2025-10-05,38,False
2025-10-12,35,False
2025-10-19,20,False
2025-10-26,21,False
2025-11-02,36,False
2025-11-09,42,False
2025-11-16,42,False
2025-11-23,53,False
2025-11-30,30,False
2025-12-07,33,False
2025-12-14,26,False
2025-12-21,40,False
2025-12-28,41,False
2026-01-04,22,False
2026-01-11,20,False
2026-01-18,40,False
2026-01-25,30,False
2026-02-01,44,False
2026-02-08,27,False
2026-02-15,32,False
2026-02-22,30,False
2026-03-01,39,False
2026-03-08,33,False
2026-03-15,32,False
2026-03-22,33,False
2026-03-29,49,False
2026-04-05,30,False
2026-04-12,30,False
2026-04-19,26,False
2026-04-26,24,False
2026-05-03,26,False
2026-05-10,31,False
2026-05-17,30,False
2026-05-24,30,False
2026-05-31,56,False
2026-06-07,46,False
2026-06-14,48,False
2026-06-21,39,False
2026-06-28,45,False
2026-07-05,43,False
2026-07-12,57,False
2026-07-19,38,False
2026-07-26,48,False
2026-08-02,41,False
2026-08-09,27,False
2026-08-16,27,False
2026-08-23,24,False
2026-08-30,22,False
2026-09-06,18,False
2026-09-13,25,True
