date,us stock market,isPartial
2021-09-12,8,False
2021-09-19,12,False
2021-09-26,9,False
2021-10-03,10,False
2021-10-10,9,False
2021-10-17,8,False
2021-10-24,8,False
2021-10-31,9,False
2021-11-07,9,False
2021-11-14,8,False
2021-11-21,10,False
2021-11-28,11,False
2021-12-05,10,False
2021-12-12,10,False
2021-12-19,11,False
2021-12-26,11,False
2022-01-02,10,False
2022-01-09,9,False
2022-01-16,13,False
2022-01-23,17,False
2022-01-30,11,False
2022-02-06,10,False
2022-02-13,12,False
2022-02-20,29,False
2022-02-27,20,False
2022-03-06,18,False
2022-03-13,13,False
2022-03-20,10,False
2022-03-27,11,False
2022-04-03,11,False
2022-04-10,12,False
2022-04-17,11,False
2022-04-24,14,False
2022-05-01,14,False
2022-05-08,18,False
2022-05-15,16,False
2022-05-22,13,False
2022-05-29,9,False
2022-06-05,11,False
2022-06-12,19,False
2022-06-19,14,False
2022-06-26,10,False
2022-07-03,8,False
2022-07-10,9,False
2022-07-17,9,False
2022-07-24,9,False
2022-07-31,9,False
2022-08-07,8,False
2022-08-14,8,False
2022-08-21,8,False
2022-08-28,9,False
2022-09-04,9,False
2022-09-11,11,False
2022-09-18,12,False
2022-09-25,13,False
2022-10-02,12,False
2022-10-09,12,False
2022-10-16,10,False
2022-10-23,10,False
2022-10-30,11,False
2022-11-06,13,False
2022-11-13,11,False
2022-11-20,8,False
2022-11-27,9,False
2022-12-04,9,False
2022-12-11,11,False
2022-12-18,9,False
2022-12-25,10,False
2023-01-01,9,False
2023-01-08,9,False
2023-01-15,10,False
2023-01-22,10,False
2023-01-29,11,False
2023-02-05,10,False
2023-02-12,9,False
2023-02-19,10,False
2023-02-26,9,False
2023-03-05,11,False
2023-03-12,16,False
2023-03-19,11,False
2023-03-26,11,False
2023-04-02,13,False
2023-04-09,9,False
2023-04-16,9,False
2023-04-23,10,False
2023-04-30,10,False
2023-05-07,9,False
2023-05-14,9,False
2023-05-21,9,False
2023-05-28,8,False
2023-06-04,8,False
2023-06-11,9,False
2023-06-18,9,False
2023-06-25,8,False
2023-07-02,8,False
2023-07-09,7,False
2023-07-16,7,False
2023-07-23,8,False
2023-07-30,9,False
2023-08-06,7,False
2023-08-13,8,False
2023-08-20,8,False
2023-08-27,8,False
2023-09-03,7,False
2023-09-10,7,False
2023-09-17,8,False
2023-09-24,9,False
2023-10-01,9,False
