date,vote Democrat,vote Republican
2006-06-01,0,0
2006-06-02,0,0
2006-06-03,0,0
2006-06-04,0,0
2006-06-05,0,0
2006-06-06,0,0
2006-06-07,0,0
2006-06-08,0,0
2006-06-09,0,0
2006-06-10,0,0
2006-06-11,0,0
2006-06-12,0,0
2006-06-13,0,0
2006-06-14,0,0
2006-06-15,0,0
2006-06-16,0,0
2006-06-17,0,0
2006-06-18,0,0
2006-06-19,0,0
2006-06-20,0,0
2006-06-21,0,0
2006-06-22,0,0
2006-06-23,0,0
2006-06-24,0,0
2006-06-25,0,0
2006-06-26,0,0
2006-06-27,0,0
2006-06-28,0,0
2006-06-29,0,0
2006-06-30,0,0
2006-07-01,0,0
2006-07-02,0,0
2006-07-03,0,0
2006-07-04,0,0
2006-07-05,0,0
2006-07-06,0,0
2006-07-07,0,0
2006-07-08,0,0
2006-07-09,0,0
2006-07-10,0,0
2006-07-11,0,0
2006-07-12,0,0
2006-07-13,0,0
2006-07-14,0,0
2006-07-15,0,0
2006-07-16,0,0
2006-07-17,0,0
2006-07-18,0,0
2006-07-19,0,0
2006-07-20,0,0
2006-07-21,0,0
2006-07-22,0,0
2006-07-23,0,0
2006-07-24,0,0
2006-07-25,0,0
2006-07-26,0,0
2006-07-27,0,0
2006-07-28,0,0
2006-07-29,0,0
2006-07-30,0,0
2006-07-31,0,0
2006-08-01,0,0
2006-08-02,0,0
2006-08-03,0,0
2006-08-04,0,0
2006-08-05,0,0
2006-08-06,0,0
2006-08-07,0,0
2006-08-08,0,0
2006-08-09,0,0
2006-08-10,0,0
2006-08-11,0,0
2006-08-12,0,0
2006-08-13,0,0
2006-08-14,0,0
2006-08-15,0,0
2006-08-16,0,0
2006-08-17,0,0
2006-08-18,0,0
2006-08-19,0,0
2006-08-20,0,0
2006-08-21,0,0
2006-08-22,0,0
2006-08-23,0,0
2006-08-24,0,0
2006-08-25,0,0
2006-08-26,0,0
2006-08-27,0,0
2006-08-28,0,0
2006-08-29,0,0
2006-08-30,0,0
2006-08-31,0,0
2006-09-01,0,0
2006-09-02,0,0
2006-09-03,0,0
2006-09-04,0,0
2006-09-05,0,0
2006-09-06,0,0
2006-09-07,0,0
2006-09-08,0,0
2006-09-09,0,0
2006-09-10,0,0
2006-09-11,0,0
2006-09-12,0,0
2006-09-13,0,0
2006-09-14,0,0
2006-09-15,0,0
2006-09-16,0,0
2006-09-17,0,0
2006-09-18,0,0
2006-09-19,0,0
2006-09-20,0,0
2006-09-21,0,0
2006-09-22,0,0
2006-09-23,0,0
2006-09-24,0,0
2006-09-25,0,0
2006-09-26,0,0
2006-09-27,16,0
2006-09-28,0,0
2006-09-29,0,0
2006-09-30,0,0
2006-10-01,0,0
2006-10-02,0,0
2006-10-03,0,0
2006-10-04,0,0
2006-10-05,0,0
2006-10-06,0,0
2006-10-07,0,0
2006-10-08,0,0
2006-10-09,0,0
2006-10-10,0,0
2006-10-11,0,0
2006-10-12,0,0
2006-10-13,0,0
2006-10-14,0,0
2006-10-15,0,0
2006-10-16,0,0
2006-10-17,0,0
2006-10-18,0,0
2006-10-19,0,0
2006-10-20,0,0
2006-10-21,0,0
2006-10-22,0,0
2006-10-23,0,0
2006-10-24,0,0
2006-10-25,0,18
2006-10-26,0,0
2006-10-27,0,0
2006-10-28,0,0
2006-10-29,0,0
2006-10-30,0,0
2006-10-31,0,0
2006-11-01,0,21
2006-11-02,0,31
2006-11-03,0,0
2006-11-04,0,0
2006-11-05,0,20
2006-11-06,21,36
2006-11-07,67,100
