date,vote Democrat,vote Republican
2014-06-01,0,0
2014-06-02,0,4
2014-06-03,4,8
2014-06-04,0,5
2014-06-05,0,0
2014-06-06,0,0
2014-06-07,0,0
2014-06-08,0,0
2014-06-09,0,0
2014-06-10,0,0
2014-06-11,3,8
2014-06-12,0,5
2014-06-13,0,0
2014-06-14,0,0
2014-06-15,0,0
2014-06-16,0,3
2014-06-17,0,0
2014-06-18,0,0
2014-06-19,0,3
2014-06-20,0,0
2014-06-21,0,0
2014-06-22,0,0
2014-06-23,0,3
2014-06-24,3,7
2014-06-25,3,7
2014-06-26,0,3
2014-06-27,0,0
2014-06-28,0,0
2014-06-29,0,0
2014-06-30,0,0
2014-07-01,0,0
2014-07-02,0,3
2014-07-03,0,0
2014-07-04,0,0
2014-07-05,0,0
2014-07-06,0,0
2014-07-07,0,0
2014-07-08,0,0
2014-07-09,0,0
2014-07-10,0,0
2014-07-11,0,0
2014-07-12,0,0
2014-07-13,0,0
2014-07-14,0,0
2014-07-15,0,3
2014-07-16,3,0
2014-07-17,0,0
2014-07-18,0,0
2014-07-19,0,0
2014-07-20,0,0
2014-07-21,0,0
2014-07-22,3,0
2014-07-23,0,0
2014-07-24,0,4
2014-07-25,0,3
2014-07-26,0,4
2014-07-27,4,4
2014-07-28,0,0
2014-07-29,0,0
2014-07-30,4,0
2014-07-31,0,0
2014-08-01,0,0
2014-08-02,0,0
2014-08-03,0,4
2014-08-04,0,0
2014-08-05,0,3
2014-08-06,0,3
2014-08-07,0,5
2014-08-08,0,0
2014-08-09,0,0
2014-08-10,0,4
2014-08-11,0,0
2014-08-12,0,7
2014-08-13,0,0
2014-08-14,0,0
2014-08-15,0,3
2014-08-16,0,0
2014-08-17,0,0
2014-08-18,0,0
2014-08-19,0,0
2014-08-20,0,0
2014-08-21,0,0
2014-08-22,0,0
2014-08-23,0,0
2014-08-24,0,0
2014-08-25,0,0
2014-08-26,3,6
2014-08-27,0,0
2014-08-28,0,0
2014-08-29,0,0
2014-08-30,0,4
2014-08-31,0,0
2014-09-01,0,0
2014-09-02,0,0
2014-09-03,0,0
2014-09-04,0,0
2014-09-05,0,0
2014-09-06,0,0
2014-09-07,0,0
2014-09-08,0,0
2014-09-09,0,5
2014-09-10,0,3
2014-09-11,0,0
2014-09-12,0,3
2014-09-13,0,0
2014-09-14,0,0
2014-09-15,0,3
2014-09-16,0,4
2014-09-17,0,4
2014-09-18,0,3
2014-09-19,3,5
2014-09-20,0,0
2014-09-21,0,0
2014-09-22,0,0
2014-09-23,0,3
2014-09-24,3,4
2014-09-25,0,0
2014-09-26,0,0
2014-09-27,0,0
2014-09-28,3,0
2014-09-29,0,3
2014-09-30,0,3
2014-10-01,0,0
2014-10-02,0,0
2014-10-03,0,4
2014-10-04,0,0
2014-10-05,0,0
2014-10-06,0,0
2014-10-07,2,3
2014-10-08,0,4
2014-10-09,0,3
2014-10-10,3,7
2014-10-11,0,0
2014-10-12,0,7
2014-10-13,0,6
2014-10-14,3,4
2014-10-15,0,8
2014-10-16,3,8
2014-10-17,3,5
2014-10-18,0,0
2014-10-19,0,4
2014-10-20,0,8
2014-10-21,6,8
2014-10-22,7,7
2014-10-23,5,10
2014-10-24,5,8
2014-10-25,0,6
2014-10-26,4,9
2014-10-27,4,10
2014-10-28,6,11
2014-10-29,9,11
2014-10-30,9,9
2014-10-31,5,11
2014-11-01,7,12
2014-11-02,7,13
2014-11-03,16,24
2014-11-04,67,100
