date,vote Democrat,vote Republican
2018-06-01,1,1
2018-06-02,1,2
2018-06-03,0,1
2018-06-04,1,3
2018-06-05,5,9
2018-06-06,3,4
2018-06-07,1,1
2018-06-08,1,1
2018-06-09,0,0
2018-06-10,0,1
2018-06-11,0,2
2018-06-12,2,3
2018-06-13,1,1
2018-06-14,0,1
2018-06-15,0,1
2018-06-16,0,0
2018-06-17,1,1
2018-06-18,0,1
2018-06-19,1,1
2018-06-20,1,1
2018-06-21,1,2
2018-06-22,1,2
2018-06-23,1,1
2018-06-24,1,1
2018-06-25,1,2
2018-06-26,3,5
2018-06-27,2,2
2018-06-28,2,2
2018-06-29,1,1
2018-06-30,3,1
2018-07-01,1,2
2018-07-02,1,1
2018-07-03,1,1
2018-07-04,0,1
2018-07-05,0,1
2018-07-06,1,1
2018-07-07,0,1
2018-07-08,1,1
2018-07-09,1,1
2018-07-10,1,2
2018-07-11,1,2
2018-07-12,1,2
2018-07-13,1,1
2018-07-14,0,1
2018-07-15,0,1
2018-07-16,1,2
2018-07-17,0,1
2018-07-18,2,1
2018-07-19,2,1
2018-07-20,1,1
2018-07-21,1,2
2018-07-22,0,1
2018-07-23,1,1
2018-07-24,1,2
2018-07-25,1,1
2018-07-26,1,2
2018-07-27,1,2
2018-07-28,0,2
2018-07-29,1,1
2018-07-30,1,1
2018-07-31,1,2
2018-08-01,1,2
2018-08-02,1,2
2018-08-03,1,1
2018-08-04,0,2
2018-08-05,1,1
2018-08-06,1,2
2018-08-07,3,5
2018-08-08,2,2
2018-08-09,1,1
2018-08-10,1,1
2018-08-11,1,1
2018-08-12,0,1
2018-08-13,1,2
2018-08-14,2,4
2018-08-15,1,2
2018-08-16,1,1
2018-08-17,1,1
2018-08-18,0,1
2018-08-19,1,0
2018-08-20,1,1
2018-08-21,1,1
2018-08-22,1,1
2018-08-23,1,2
2018-08-24,0,1
2018-08-25,1,1
2018-08-26,0,1
2018-08-27,1,2
2018-08-28,4,5
2018-08-29,1,2
2018-08-30,1,2
2018-08-31,1,1
2018-09-01,0,1
2018-09-02,0,1
2018-09-03,0,1
2018-09-04,2,2
2018-09-05,1,2
2018-09-06,1,2
2018-09-07,1,2
2018-09-08,1,2
2018-09-09,1,2
2018-09-10,2,2
2018-09-11,1,2
2018-09-12,1,2
2018-09-13,4,5
2018-09-14,1,2
2018-09-15,1,1
2018-09-16,1,1
2018-09-17,1,2
2018-09-18,1,1
2018-09-19,1,2
2018-09-20,1,2
2018-09-21,1,3
2018-09-22,1,2
2018-09-23,1,2
2018-09-24,1,2
2018-09-25,3,5
2018-09-26,3,3
2018-09-27,2,4
2018-09-28,5,13
2018-09-29,2,3
2018-09-30,1,3
2018-10-01,2,3
2018-10-02,3,3
2018-10-03,3,3
2018-10-04,3,6
2018-10-05,5,11
2018-10-06,8,9
2018-10-07,6,8
2018-10-08,4,6
2018-10-09,5,7
2018-10-10,5,5
2018-10-11,4,5
2018-10-12,4,5
2018-10-13,2,5
2018-10-14,4,4
2018-10-15,3,5
2018-10-16,3,5
2018-10-17,3,6
2018-10-18,4,5
2018-10-19,5,5
2018-10-20,4,6
2018-10-21,4,4
2018-10-22,6,9
2018-10-23,6,9
2018-10-24,5,7
2018-10-25,5,6
2018-10-26,5,7
2018-10-27,5,6
2018-10-28,5,6
2018-10-29,5,7
2018-10-30,7,10
2018-10-31,7,10
2018-11-01,7,10
2018-11-02,9,11
2018-11-03,10,11
2018-11-04,11,12
2018-11-05,20,28
2018-11-06,82,100
