date,vote Democrat,vote Republican
2022-06-01,2,4
2022-06-02,1,4
2022-06-03,2,4
2022-06-04,1,3
2022-06-05,2,4
2022-06-06,2,5
2022-06-07,5,11
2022-06-08,3,5
2022-06-09,2,4
2022-06-10,2,4
2022-06-11,1,1
2022-06-12,2,3
2022-06-13,1,3
2022-06-14,2,5
2022-06-15,1,3
2022-06-16,2,3
2022-06-17,1,2
2022-06-18,0,1
2022-06-19,1,3
2022-06-20,2,3
2022-06-21,2,4
2022-06-22,1,3
2022-06-23,1,5
2022-06-24,5,11
2022-06-25,3,9
2022-06-26,2,5
2022-06-27,3,8
2022-06-28,7,13
2022-06-29,2,5
2022-06-30,1,3
2022-07-01,1,3
2022-07-02,0,4
2022-07-03,1,3
2022-07-04,1,2
2022-07-05,1,3
2022-07-06,1,2
2022-07-07,1,2
2022-07-08,1,2
2022-07-09,1,3
2022-07-10,1,3
2022-07-11,1,3
2022-07-12,1,3
2022-07-13,2,2
2022-07-14,0,2
2022-07-15,1,2
2022-07-16,1,3
2022-07-17,2,3
2022-07-18,1,2
2022-07-19,1,5
2022-07-20,2,7
2022-07-21,2,5
2022-07-22,2,6
2022-07-23,1,4
2022-07-24,1,4
2022-07-25,2,4
2022-07-26,2,4
2022-07-27,2,3
2022-07-28,2,3
2022-07-29,2,5
2022-07-30,2,3
2022-07-31,2,5
2022-08-01,3,5
2022-08-02,5,11
2022-08-03,2,6
2022-08-04,1,3
2022-08-05,1,3
2022-08-06,1,2
2022-08-07,1,3
2022-08-08,2,4
2022-08-09,3,6
2022-08-10,1,3
2022-08-11,1,2
2022-08-12,1,2
2022-08-13,2,3
2022-08-14,2,3
2022-08-15,1,2
2022-08-16,2,3
2022-08-17,2,5
2022-08-18,2,3
2022-08-19,2,3
2022-08-20,2,3
2022-08-21,0,2
2022-08-22,1,3
2022-08-23,5,8
2022-08-24,2,3
2022-08-25,2,2
2022-08-26,1,2
2022-08-27,0,2
2022-08-28,0,2
2022-08-29,1,3
2022-08-30,1,4
2022-08-31,1,3
2022-09-01,1,4
2022-09-02,0,3
2022-09-03,0,2
2022-09-04,1,2
2022-09-05,1,2
2022-09-06,2,3
2022-09-07,1,2
2022-09-08,1,2
2022-09-09,1,2
2022-09-10,1,1
2022-09-11,1,2
2022-09-12,1,3
2022-09-13,1,3
2022-09-14,1,3
2022-09-15,1,4
2022-09-16,1,3
2022-09-17,1,2
2022-09-18,2,2
2022-09-19,1,3
2022-09-20,2,6
2022-09-21,2,4
2022-09-22,1,3
2022-09-23,1,4
2022-09-24,1,3
2022-09-25,1,2
2022-09-26,1,3
2022-09-27,2,3
2022-09-28,2,2
2022-09-29,2,3
2022-09-30,2,3
2022-10-01,1,3
2022-10-02,0,5
2022-10-03,2,5
2022-10-04,2,4
2022-10-05,2,5
2022-10-06,3,4
2022-10-07,2,4
2022-10-08,2,3
2022-10-09,1,4
2022-10-10,2,4
2022-10-11,3,5
2022-10-12,3,4
2022-10-13,3,5
2022-10-14,2,4
2022-10-15,2,4
2022-10-16,3,5
2022-10-17,3,6
2022-10-18,4,6
2022-10-19,4,7
2022-10-20,3,6
2022-10-21,4,6
2022-10-22,3,5
2022-10-23,5,6
2022-10-24,5,8
2022-10-25,5,9
2022-10-26,5,9
2022-10-27,5,7
2022-10-28,5,8
2022-10-29,5,7
2022-10-30,5,7
2022-10-31,6,10
2022-11-01,6,9
2022-11-02,6,10
2022-11-03,9,14
2022-11-04,8,15
2022-11-05,8,11
2022-11-06,7,12
2022-11-07,14,28
2022-11-08,58,100
