date,vote Democrat,vote Republican,isPartial
2026-06-01,31,58,False
2026-06-02,76,99,False
2026-06-03,44,64,False
2026-06-04,18,34,False
2026-06-05,15,32,False
2026-06-06,18,33,False
2026-06-07,20,36,False
2026-06-08,18,68,False
2026-06-09,27,48,False
2026-06-10,18,42,False
2026-06-11,13,28,False
2026-06-12,12,25,False
2026-06-13,15,22,False
2026-06-14,10,19,False
2026-06-15,12,23,False
2026-06-16,23,37,False
2026-06-17,12,29,False
2026-06-18,14,26,False
2026-06-19,11,19,False
2026-06-20,9,22,False
2026-06-21,12,16,False
2026-06-22,17,25,False
2026-06-23,35,59,False
2026-06-24,19,32,False
2026-06-25,13,20,False
2026-06-26,8,20,False
2026-06-27,14,15,False
2026-06-28,6,28,False
2026-06-29,11,30,False
2026-06-30,12,27,False
2026-07-01,11,29,False
2026-07-02,10,42,False
2026-07-03,14,32,False
2026-07-04,6,17,False
2026-07-05,9,23,False
2026-07-06,8,19,False
2026-07-07,7,19,False
2026-07-08,14,25,False
2026-07-09,12,30,False
2026-07-10,8,27,False
2026-07-11,12,30,False
2026-07-12,12,22,False
2026-07-13,15,24,False
2026-07-14,6,23,False
2026-07-15,13,29,False
2026-07-16,13,31,False
2026-07-17,18,25,False
2026-07-18,12,30,False
2026-07-19,0,28,False
2026-07-20,16,34,False
2026-07-21,17,33,False
2026-07-22,20,28,False
2026-07-23,19,27,False
2026-07-24,13,21,False
2026-07-25,19,21,False
2026-07-26,11,20,False
2026-07-27,16,29,False
2026-07-28,13,28,False
2026-07-29,14,18,False
2026-07-30,14,29,False
2026-07-31,15,25,False
2026-08-01,18,23,False
2026-08-02,17,27,False
2026-08-03,18,32,False
2026-08-04,68,100,False
2026-08-05,37,52,False
2026-08-06,23,41,False
2026-08-07,17,37,False
2026-08-08,13,34,False
2026-08-09,14,31,False
2026-08-10,22,39,False
2026-08-11,45,76,False
2026-08-12,21,47,False
2026-08-13,13,24,False
2026-08-14,18,22,False
2026-08-15,13,21,False
2026-08-16,14,22,False
2026-08-17,12,32,False
2026-08-18,45,75,False
2026-08-19,19,33,False
2026-08-20,13,18,False
2026-08-21,13,21,False
2026-08-22,10,9,False
2026-08-23,7,18,False
2026-08-24,15,17,False
2026-08-25,21,29,False
2026-08-26,11,42,False
2026-08-27,9,23,False
2026-08-28,7,17,False
2026-08-29,9,17,False
2026-08-30,11,19,False
2026-08-31,12,16,False
2026-09-01,21,33,False
2026-09-02,16,20,False
2026-09-03,12,18,False
2026-09-04,10,16,False
2026-09-05,10,12,False
2026-09-06,10,13,False
2026-09-07,10,15,False
2026-09-08,13,20,False
2026-09-09,13,23,False
2026-09-10,19,88,False
2026-09-11,17,60,False
2026-09-12,12,31,False
2026-09-13,13,26,False
2026-09-14,14,29,False
2026-09-15,30,52,False
2026-09-16,23,36,False
2026-09-17,22,31,True
