date,vote for Hillary Clinton,vote for Donald Trump
2016-06-01,4,3
2016-06-02,3,2
2016-06-03,4,0
2016-06-04,4,3
2016-06-05,0,3
2016-06-06,2,4
2016-06-07,10,5
2016-06-08,15,8
2016-06-09,7,3
2016-06-10,5,4
2016-06-11,4,5
2016-06-12,3,0
2016-06-13,2,0
2016-06-14,2,3
2016-06-15,2,3
2016-06-16,3,3
2016-06-17,0,0
2016-06-18,3,3
2016-06-19,0,3
2016-06-20,0,0
2016-06-21,3,6
2016-06-22,3,3
2016-06-23,0,3
2016-06-24,5,3
2016-06-25,4,3
2016-06-26,0,4
2016-06-27,2,3
2016-06-28,3,2
2016-06-29,0,0
2016-06-30,3,2
2016-07-01,0,0
2016-07-02,5,0
2016-07-03,0,0
2016-07-04,0,0
2016-07-05,3,0
2016-07-06,6,3
2016-07-07,6,4
2016-07-08,0,0
2016-07-09,0,0
2016-07-10,0,0
2016-07-11,0,2
2016-07-12,4,0
2016-07-13,4,3
2016-07-14,0,2
2016-07-15,4,0
2016-07-16,0,0
2016-07-17,3,3
2016-07-18,3,2
2016-07-19,4,7
2016-07-20,4,9
2016-07-21,6,6
2016-07-22,9,11
2016-07-23,7,7
2016-07-24,6,7
2016-07-25,7,5
2016-07-26,12,6
2016-07-27,13,3
2016-07-28,12,7
2016-07-29,17,9
2016-07-30,8,6
2016-07-31,8,6
2016-08-01,7,6
2016-08-02,6,6
2016-08-03,7,4
2016-08-04,3,5
2016-08-05,5,6
2016-08-06,3,0
2016-08-07,4,0
2016-08-08,3,2
2016-08-09,0,3
2016-08-10,0,5
2016-08-11,5,3
2016-08-12,3,0
2016-08-13,3,0
2016-08-14,0,3
2016-08-15,3,0
2016-08-16,0,0
2016-08-17,0,2
2016-08-18,0,3
2016-08-19,3,4
2016-08-20,0,4
2016-08-21,3,3
2016-08-22,3,3
2016-08-23,0,0
2016-08-24,3,4
2016-08-25,3,4
2016-08-26,0,2
2016-08-27,0,0
2016-08-28,0,3
2016-08-29,2,4
2016-08-30,3,3
2016-08-31,2,0
2016-09-01,2,3
2016-09-02,2,4
2016-09-03,0,0
2016-09-04,2,3
2016-09-05,0,3
2016-09-06,3,2
2016-09-07,3,3
2016-09-08,5,4
2016-09-09,4,4
2016-09-10,0,3
2016-09-11,4,3
2016-09-12,3,3
2016-09-13,4,5
2016-09-14,5,3
2016-09-15,4,4
2016-09-16,3,3
2016-09-17,4,3
2016-09-18,3,0
2016-09-19,5,4
2016-09-20,7,4
2016-09-21,3,4
2016-09-22,4,6
2016-09-23,4,5
2016-09-24,4,3
2016-09-25,5,4
2016-09-26,7,7
2016-09-27,23,21
2016-09-28,9,9
2016-09-29,9,5
2016-09-30,7,5
2016-10-01,4,6
2016-10-02,6,5
2016-10-03,4,3
2016-10-04,7,5
2016-10-05,5,5
2016-10-06,7,8
2016-10-07,6,4
2016-10-08,7,9
2016-10-09,7,10
2016-10-10,20,19
2016-10-11,10,12
2016-10-12,11,9
2016-10-13,10,12
2016-10-14,10,12
2016-10-15,7,7
2016-10-16,7,8
2016-10-17,7,7
2016-10-18,8,9
2016-10-19,8,7
2016-10-20,22,20
2016-10-21,11,9
2016-10-22,8,5
2016-10-23,8,9
2016-10-24,11,11
2016-10-25,16,42
2016-10-26,18,58
2016-10-27,14,36
2016-10-28,15,21
2016-10-29,10,14
2016-10-30,10,11
2016-10-31,12,12
2016-11-01,18,15
2016-11-02,21,17
2016-11-03,21,17
2016-11-04,24,19
2016-11-05,21,16
2016-11-06,20,14
2016-11-07,47,43
2016-11-08,100,76
