date,vote for Joe Biden,vote for Donald Trump
2020-06-01,11,0
2020-06-02,15,6
2020-06-03,13,5
2020-06-04,7,4
2020-06-05,8,0
2020-06-06,7,0
2020-06-07,7,4
2020-06-08,7,0
2020-06-09,7,4
2020-06-10,7,4
2020-06-11,6,4
2020-06-12,6,4
2020-06-13,6,4
2020-06-14,0,0
2020-06-15,4,0
2020-06-16,4,0
2020-06-17,0,0
2020-06-18,4,0
2020-06-19,4,0
2020-06-20,6,0
2020-06-21,10,0
2020-06-22,4,0
2020-06-23,9,5
2020-06-24,8,5
2020-06-25,4,7
2020-06-26,7,5
2020-06-27,6,5
2020-06-28,8,5
2020-06-29,6,0
2020-06-30,8,5
2020-07-01,4,4
2020-07-02,4,8
2020-07-03,8,4
2020-07-04,0,8
2020-07-05,0,8
2020-07-06,5,5
2020-07-07,5,5
2020-07-08,5,4
2020-07-09,7,0
2020-07-10,0,0
2020-07-11,6,4
2020-07-12,5,0
2020-07-13,5,4
2020-07-14,0,0
2020-07-15,5,0
2020-07-16,0,5
2020-07-17,5,0
2020-07-18,0,0
2020-07-19,5,0
2020-07-20,5,0
2020-07-21,6,0
2020-07-22,4,0
2020-07-23,5,0
2020-07-24,4,4
2020-07-25,6,5
2020-07-26,0,0
2020-07-27,6,0
2020-07-28,9,0
2020-07-29,7,0
2020-07-30,8,5
2020-07-31,5,0
2020-08-01,0,0
2020-08-02,0,0
2020-08-03,4,0
2020-08-04,7,6
2020-08-05,6,4
2020-08-06,4,0
2020-08-07,7,0
2020-08-08,6,0
2020-08-09,0,0
2020-08-10,4,0
2020-08-11,13,0
2020-08-12,19,4
2020-08-13,7,0
2020-08-14,9,0
2020-08-15,6,0
2020-08-16,9,4
2020-08-17,6,0
2020-08-18,16,5
2020-08-19,20,5
2020-08-20,17,6
2020-08-21,21,5
2020-08-22,13,0
2020-08-23,9,5
2020-08-24,10,4
2020-08-25,11,0
2020-08-26,11,6
2020-08-27,9,0
2020-08-28,11,5
2020-08-29,9,0
2020-08-30,7,0
2020-08-31,8,4
2020-09-01,9,4
2020-09-02,7,4
2020-09-03,6,6
2020-09-04,7,4
2020-09-05,12,5
2020-09-06,8,0
2020-09-07,8,0
2020-09-08,7,4
2020-09-09,7,3
2020-09-10,8,5
2020-09-11,5,0
2020-09-12,7,0
2020-09-13,7,0
2020-09-14,5,4
2020-09-15,8,0
2020-09-16,7,4
2020-09-17,8,5
2020-09-18,10,5
2020-09-19,8,5
2020-09-20,11,6
2020-09-21,8,0
2020-09-22,14,4
2020-09-23,12,7
2020-09-24,9,3
2020-09-25,9,4
2020-09-26,10,0
2020-09-27,11,5
2020-09-28,10,5
2020-09-29,11,6
2020-09-30,39,19
2020-10-01,16,9
2020-10-02,14,14
2020-10-03,10,7
2020-10-04,8,0
2020-10-05,6,8
2020-10-06,15,11
2020-10-07,15,8
2020-10-08,15,9
2020-10-09,8,5
2020-10-10,12,8
2020-10-11,11,0
2020-10-12,15,7
2020-10-13,16,5
2020-10-14,15,7
2020-10-15,17,9
2020-10-16,16,10
2020-10-17,17,10
2020-10-18,15,7
2020-10-19,16,10
2020-10-20,20,11
2020-10-21,21,12
2020-10-22,19,12
2020-10-23,28,14
2020-10-24,19,11
2020-10-25,15,12
2020-10-26,18,17
2020-10-27,26,16
2020-10-28,17,15
2020-10-29,26,13
2020-10-30,26,16
2020-10-31,25,14
2020-11-01,22,9
2020-11-02,46,31
2020-11-03,100,73
