date,what is influenza,isPartial
2021-09-12,17,False
2021-09-19,15,False
2021-09-26,14,False
2021-10-03,13,False
2021-10-10,13,False
2021-10-17,14,False
2021-10-24,13,False
2021-10-31,16,False
2021-11-07,15,False
2021-11-14,16,False
2021-11-21,11,False
2021-11-28,20,False
2021-12-05,23,False
2021-12-12,21,False
2021-12-19,19,False
2021-12-26,20,False
2022-01-02,34,False
2022-01-09,23,False
2022-01-16,19,False
2022-01-23,22,False
2022-01-30,19,False
2022-02-06,22,False
2022-02-13,23,False
2022-02-20,20,False
2022-02-27,23,False
2022-03-06,21,False
2022-03-13,21,False
2022-03-20,23,False
2022-03-27,25,False
2022-04-03,27,False
2022-04-10,25,False
2022-04-17,27,False
2022-04-24,28,False
2022-05-01,27,False
2022-05-08,25,False
2022-05-15,21,False
2022-05-22,19,False
2022-05-29,16,False
2022-06-05,14,False
2022-06-12,13,False
2022-06-19,12,False
2022-06-26,11,False
2022-07-03,11,False
2022-07-10,10,False
2022-07-17,10,False
2022-07-24,11,False
2022-07-31,9,False
2022-08-07,7,False
2022-08-14,11,False
2022-08-21,12,False
2022-08-28,13,False
2022-09-04,16,False
2022-09-11,17,False
2022-09-18,21,False
2022-09-25,22,False
2022-10-02,20,False
2022-10-09,21,False
2022-10-16,22,False
2022-10-23,27,False
2022-10-30,31,False
2022-11-06,34,False
2022-11-13,41,False
2022-11-20,38,False
2022-11-27,51,False
2022-12-04,55,False
2022-12-11,54,False
2022-12-18,35,False
2022-12-25,29,False
2023-01-01,20,False
2023-01-08,24,False
2023-01-15,23,False
2023-01-22,21,False
2023-01-29,23,False
2023-02-05,21,False
2023-02-12,22,False
2023-02-19,21,False
2023-02-26,23,False
2023-03-05,21,False
2023-03-12,16,False
2023-03-19,20,False
2023-03-26,20,False
2023-04-02,19,False
2023-04-09,21,False
2023-04-16,23,False
2023-04-23,23,False
2023-04-30,19,False
2023-05-07,22,False
2023-05-14,17,False
2023-05-21,14,False
2023-05-28,12,False
2023-06-04,13,False
2023-06-11,10,False
2023-06-18,11,False
2023-06-25,9,False
2023-07-02,10,False
2023-07-09,10,False
2023-07-16,9,False
2023-07-23,9,False
2023-07-30,8,False
2023-08-06,9,False
2023-08-13,9,False
2023-08-20,13,False
2023-08-27,15,False
2023-09-03,17,False
2023-09-10,21,False
2023-09-17,21,False
2023-09-24,22,False
2023-10-01,23,False
2023-10-08,22,False
2023-10-15,22,False
2023-10-22,24,False
2023-10-29,19,False
2023-11-05,24,False
2023-11-12,26,False
2023-11-19,18,False
2023-11-26,31,False
2023-12-03,32,False
2023-12-10,32,False
2023-12-17,31,False
2023-12-24,24,False
2023-12-31,28,False
2024-01-07,27,False
2024-01-14,27,False
2024-01-21,31,False
2024-01-28,34,False
2024-02-04,37,False
2024-02-11,38,False
2024-02-18,37,False
2024-02-25,37,False
2024-03-03,34,False
2024-03-10,29,False
2024-03-17,27,False
2024-03-24,28,False
2024-03-31,28,False
2024-04-07,27,False
2024-04-14,29,False
2024-04-21,26,False
2024-04-28,27,False
2024-05-05,23,False
