date,bls_cpi_mom_sa_pct
2004-02-01,0.2145
2004-03-01,0.214
2004-04-01,0.1602
2004-05-01,0.426
2004-06-01,0.3713
2004-07-01,0.1058
2004-08-01,0.0529
2004-09-01,0.3166
2004-10-01,0.5255
2004-11-01,0.4706
2004-12-01,0.0
2005-01-01,-0.0522
2005-02-01,0.4167
2005-03-01,0.3632
2005-04-01,0.3102
2005-05-01,-0.0516
2005-06-01,0.0516
2005-07-01,0.6176
2005-08-01,0.6138
2005-09-01,1.3675
2005-10-01,0.1508
2005-11-01,-0.5035
2005-12-01,0.0
2006-01-01,0.6039
2006-02-01,0.0502
2006-03-01,0.1503
2006-04-01,0.4995
2006-05-01,0.2985
2006-06-01,0.2481
2006-07-01,0.5436
2006-08-01,0.4426
2006-09-01,-0.4919
2006-10-01,-0.4448
2006-11-01,0.0495
2006-12-01,0.5431
2007-01-01,0.1658
2007-02-01,0.3871
2007-03-01,0.5187
2007-04-01,0.2996
2007-05-01,0.4124
2007-06-01,0.2314
2007-07-01,0.1779
2007-08-01,0.0308
2007-09-01,0.4229
2007-10-01,0.3078
2007-11-01,0.7828
2007-12-01,0.2894
2008-01-01,0.3442
2008-02-01,0.2415
2008-03-01,0.3572
2008-04-01,0.2312
2008-05-01,0.59
2008-06-01,1.0424
2008-07-01,0.7116
2008-08-01,-0.149
2008-09-01,0.0855
2008-10-01,-0.8636
2008-11-01,-1.7864
2008-12-01,-0.8268
2009-01-01,0.2528
2009-02-01,0.3636
2009-03-01,-0.0988
2009-04-01,0.1007
2009-05-01,0.147
2009-06-01,0.8265
2009-07-01,-0.0298
2009-08-01,0.3343
2009-09-01,0.1929
2009-10-01,0.2997
2009-11-01,0.3343
2009-12-01,0.052
2010-01-01,0.0649
2010-02-01,-0.0952
2010-03-01,0.0331
2010-04-01,0.023
2010-05-01,-0.052
2010-06-01,-0.0419
2010-07-01,0.1868
2010-08-01,0.146
2010-09-01,0.1614
2010-10-01,0.3476
2010-11-01,0.2531
2010-12-01,0.4009
2011-01-01,0.3238
2011-02-01,0.3209
2011-03-01,0.516
2011-04-01,0.4683
2011-05-01,0.3177
2011-06-01,0.0
2011-07-01,0.2617
2011-08-01,0.3149
2011-09-01,0.2169
2011-10-01,0.0675
2011-11-01,0.1846
2011-12-01,0.0238
2012-01-01,0.272
2012-02-01,0.2135
2012-03-01,0.2091
2012-04-01,0.1659
2012-05-01,-0.207
2012-06-01,-0.0827
2012-07-01,0.0289
2012-08-01,0.5793
2012-09-01,0.476
2012-10-01,0.2693
2012-11-01,-0.1681
2012-12-01,-0.0121
2013-01-01,0.1979
2013-02-01,0.5415
2013-03-01,-0.2816
2013-04-01,-0.209
2013-05-01,0.0414
2013-06-01,0.2378
2013-07-01,0.1956
2013-08-01,0.2384
2013-09-01,0.0377
2013-10-01,0.0535
2013-11-01,0.1843
2013-12-01,0.2641
2014-01-01,0.2421
2014-02-01,0.11
2014-03-01,0.204
2014-04-01,0.1862
2014-05-01,0.1901
2014-06-01,0.132
2014-07-01,0.1125
2014-08-01,-0.016
2014-09-01,0.0072
2014-10-01,-0.0198
2014-11-01,-0.1884
2014-12-01,-0.3089
2015-01-01,-0.6391
2015-02-01,0.2531
2015-03-01,0.269
2015-04-01,0.1042
2015-05-01,0.3292
2015-06-01,0.2764
2015-07-01,0.1585
2015-08-01,-0.0004
2015-09-01,-0.225
2015-10-01,0.0989
2015-11-01,0.1194
2015-12-01,-0.1076
2016-01-01,-0.0459
2016-02-01,-0.1331
2016-03-01,0.313
2016-04-01,0.3823
2016-05-01,0.2361
2016-06-01,0.2772
2016-07-01,-0.0504
2016-08-01,0.1848
2016-09-01,0.262
2016-10-01,0.234
2016-11-01,0.1178
2016-12-01,0.2521
2017-01-01,0.4035
2017-02-01,0.1591
2017-03-01,-0.0467
2017-04-01,0.1233
2017-05-01,-0.0774
2017-06-01,0.0651
2017-07-01,0.0328
2017-08-01,0.3841
2017-09-01,0.5093
2017-10-01,0.0775
2017-11-01,0.2664
2017-12-01,0.2105
2018-01-01,0.4244
2018-02-01,0.2689
2018-03-01,0.0192
2018-04-01,0.2601
2018-05-01,0.2255
2018-06-01,0.0901
2018-07-01,0.0781
2018-08-01,0.1786
2018-09-01,0.206
2018-10-01,0.2337
2018-11-01,-0.0704
2018-12-01,0.0685
2019-01-01,-0.0815
2019-02-01,0.2997
2019-03-01,0.3775
2019-04-01,0.3753
2019-05-01,0.0247
2019-06-01,-0.0325
2019-07-01,0.2305
2019-08-01,0.0914
2019-09-01,0.1538
2019-10-01,0.2823
2019-11-01,0.2811
2019-12-01,0.2908
2020-01-01,0.192
2020-02-01,0.0475
2020-03-01,-0.4539
2020-04-01,-0.7952
2020-05-01,-0.0899
2020-06-01,0.4836
2020-07-01,0.5084
2020-08-01,0.3724
2020-09-01,0.2623
2020-10-01,0.1238
2020-11-01,0.2272
2020-12-01,0.4337
2021-01-01,0.2447
2021-02-01,0.339
2021-03-01,0.523
2021-04-01,0.6219
2021-05-01,0.6613
2021-06-01,0.8426
2021-07-01,0.4604
2021-08-01,0.2839
2021-09-01,0.4515
2021-10-01,0.9592
2021-11-01,0.853
2021-12-01,0.6881
2022-01-01,0.6028
2022-02-01,0.6903
2022-03-01,1.1095
2022-04-01,0.3079
2022-05-01,0.944
2022-06-01,1.2483
2022-07-01,-0.0149
2022-08-01,0.0624
2022-09-01,0.4234
2022-10-01,0.5579
2022-11-01,0.2611
2022-12-01,0.0154
2023-01-01,0.53
2023-02-01,0.3423
2023-03-01,0.123
2023-04-01,0.3387
2023-05-01,0.1613
2023-06-01,0.2239
2023-07-01,0.1955
2023-08-01,0.4824
2023-09-01,0.3893
2023-10-01,0.1366
2023-11-01,0.1468
2023-12-01,0.1923
2024-01-01,0.3095
2024-02-01,0.4089
2024-03-01,0.4422
2024-04-01,0.2168
2024-05-01,0.0485
2024-06-01,-0.0418
2024-07-01,0.1676
2024-08-01,0.1571
2024-09-01,0.2131
2024-10-01,0.2852
2024-11-01,0.2838
2024-12-01,0.3394
2025-01-01,0.4264
2025-02-01,0.2249
2025-03-01,0.0332
2025-04-01,0.1615
2025-05-01,0.0992
2025-06-01,0.2539
2025-07-01,0.2281
2025-08-01,0.3477
2025-09-01,0.2947
2025-10-01,0.1261
2025-11-01,0.1259
2025-12-01,0.2973
2026-01-01,0.1707
2026-02-01,0.2666
2026-03-01,0.8614
2026-04-01,0.638
2026-05-01,0.4718
2026-06-01,-0.4234
2026-07-01,0.0736
2026-08-01,0.3952
