date,bls_cpi_yoy_nsa_pct
2005-01-01,2.9698
2005-02-01,3.0075
2005-03-01,3.1483
2005-04-01,3.5106
2005-05-01,2.8027
2005-06-01,2.5303
2005-07-01,3.1679
2005-08-01,3.6412
2005-09-01,4.6867
2005-10-01,4.3478
2005-11-01,3.4555
2005-12-01,3.4157
2006-01-01,3.9853
2006-02-01,3.5975
2006-03-01,3.3626
2006-04-01,3.5457
2006-05-01,4.1667
2006-06-01,4.3188
2006-07-01,4.1453
2006-08-01,3.8187
2006-09-01,2.0624
2006-10-01,1.3052
2006-11-01,1.9737
2006-12-01,2.5407
2007-01-01,2.0756
2007-02-01,2.4152
2007-03-01,2.7788
2007-04-01,2.5737
2007-05-01,2.6909
2007-06-01,2.687
2007-07-01,2.3582
2007-08-01,1.9701
2007-09-01,2.7551
2007-10-01,3.5362
2007-11-01,4.3062
2007-12-01,4.0813
2008-01-01,4.2803
2008-02-01,4.0266
2008-03-01,3.9815
2008-04-01,3.9369
2008-05-01,4.1755
2008-06-01,5.0218
2008-07-01,5.6001
2008-08-01,5.3719
2008-09-01,4.9369
2008-10-01,3.6552
2008-11-01,1.0696
2008-12-01,0.0914
2009-01-01,0.0298
2009-02-01,0.2362
2009-03-01,-0.3836
2009-04-01,-0.7369
2009-05-01,-1.2814
2009-06-01,-1.4268
2009-07-01,-2.0972
2009-08-01,-1.4843
2009-09-01,-1.2862
2009-10-01,-0.1828
2009-11-01,1.8383
2009-12-01,2.7213
2010-01-01,2.6257
2010-02-01,2.1433
2010-03-01,2.314
2010-04-01,2.2364
2010-05-01,2.021
2010-06-01,1.0533
2010-07-01,1.2352
2010-08-01,1.1481
2010-09-01,1.1437
2010-10-01,1.1722
2010-11-01,1.1432
2010-12-01,1.4957
2011-01-01,1.6318
2011-02-01,2.1076
2011-03-01,2.6816
2011-04-01,3.1636
2011-05-01,3.5686
2011-06-01,3.5588
2011-07-01,3.6287
2011-08-01,3.7712
2011-09-01,3.8684
2011-10-01,3.5252
2011-11-01,3.3944
2011-12-01,2.9624
2012-01-01,2.9252
2012-02-01,2.8711
2012-03-01,2.6514
2012-04-01,2.3027
2012-05-01,1.7043
2012-06-01,1.664
2012-07-01,1.4085
2012-08-01,1.6924
2012-09-01,1.9913
2012-10-01,2.1623
2012-11-01,1.7641
2012-12-01,1.741
2013-01-01,1.5949
2013-02-01,1.9779
2013-03-01,1.4739
2013-04-01,1.0631
2013-05-01,1.362
2013-06-01,1.7544
2013-07-01,1.9607
2013-08-01,1.5184
2013-09-01,1.1849
2013-10-01,0.9636
2013-11-01,1.2371
2013-12-01,1.5017
2014-01-01,1.5789
2014-02-01,1.1263
2014-03-01,1.5122
2014-04-01,1.9529
2014-05-01,2.1271
2014-06-01,2.0723
2014-07-01,1.9923
2014-08-01,1.6996
2014-09-01,1.6579
2014-10-01,1.6643
2014-11-01,1.3224
2014-12-01,0.7565
2015-01-01,-0.0893
2015-02-01,-0.0251
2015-03-01,-0.0736
2015-04-01,-0.1995
2015-05-01,-0.0399
2015-06-01,0.1238
2015-07-01,0.1696
2015-08-01,0.1951
2015-09-01,-0.0361
2015-10-01,0.1706
2015-11-01,0.5018
2015-12-01,0.7295
2016-01-01,1.3731
2016-02-01,1.0178
2016-03-01,0.8525
2016-04-01,1.1251
2016-05-01,1.0193
2016-06-01,0.9973
2016-07-01,0.8271
2016-08-01,1.0629
2016-09-01,1.4638
2016-10-01,1.636
2016-11-01,1.6925
2016-12-01,2.0746
2017-01-01,2.5
2017-02-01,2.738
2017-03-01,2.3806
2017-04-01,2.1997
2017-05-01,1.8749
2017-06-01,1.6335
2017-07-01,1.728
2017-08-01,1.939
2017-09-01,2.233
2017-10-01,2.0411
2017-11-01,2.2026
2017-12-01,2.1091
2018-01-01,2.0705
2018-02-01,2.2118
2018-03-01,2.3597
2018-04-01,2.4627
2018-05-01,2.801
2018-06-01,2.8715
2018-07-01,2.9495
2018-08-01,2.6992
2018-09-01,2.277
2018-10-01,2.5225
2018-11-01,2.1766
2018-12-01,1.9102
2019-01-01,1.5512
2019-02-01,1.5201
2019-03-01,1.8625
2019-04-01,1.9964
2019-05-01,1.7902
2019-06-01,1.6485
2019-07-01,1.8115
2019-08-01,1.7498
2019-09-01,1.7113
2019-10-01,1.764
2019-11-01,2.0513
2019-12-01,2.2851
2020-01-01,2.4866
2020-02-01,2.3349
2020-03-01,1.5393
2020-04-01,0.3291
2020-05-01,0.1179
2020-06-01,0.6457
2020-07-01,0.9861
2020-08-01,1.3096
2020-09-01,1.3713
2020-10-01,1.1821
2020-11-01,1.1745
2020-12-01,1.362
2021-01-01,1.3998
2021-02-01,1.6762
2021-03-01,2.6198
2021-04-01,4.1597
2021-05-01,4.9927
2021-06-01,5.3915
2021-07-01,5.3655
2021-08-01,5.2513
2021-09-01,5.3903
