date,fluview_wili_hhs2
2010-10-09,1.16869
2010-10-16,1.32645
2010-10-23,1.21948
2010-10-30,1.38946
2010-11-06,1.22194
2010-11-13,1.39471
2010-11-20,1.42987
2010-11-27,1.65444
2010-12-04,2.19869
2010-12-11,2.48266
2010-12-18,3.01943
2010-12-25,4.21664
2011-01-01,4.47832
2011-01-08,3.33753
2011-01-15,3.83669
2011-01-22,3.65077
2011-01-29,3.93498
2011-02-05,4.05683
2011-02-12,4.09076
2011-02-19,4.25042
2011-02-26,4.31914
2011-03-05,3.44821
2011-03-12,3.18862
2011-03-19,3.17757
2011-03-26,2.49454
2011-04-02,2.74673
2011-04-09,2.46478
2011-04-16,2.22908
2011-04-23,2.19754
2011-04-30,1.74624
2011-05-07,1.6154
2011-05-14,1.71908
2011-05-21,1.4441
2011-05-28,1.91
2011-06-04,1.83152
2011-06-11,1.2816
2011-06-18,1.34325
2011-06-25,1.26116
2011-07-02,0.637261
2011-07-09,0.401139
2011-07-16,0.345868
2011-07-23,0.31015
2011-07-30,0.372588
2011-08-06,0.411607
2011-08-13,0.508846
2011-08-20,0.404115
2011-08-27,0.377883
2011-09-03,0.379122
2011-09-10,0.389872
2011-09-17,0.410596
2011-09-24,0.501859
2011-10-01,0.63521
2011-10-08,0.925929
2011-10-15,0.960625
2011-10-22,0.933331
2011-10-29,0.919837
2011-11-05,1.15578
2011-11-12,1.07592
2011-11-19,1.15923
2011-11-26,1.29938
2011-12-03,1.30751
2011-12-10,1.35173
2011-12-17,1.30895
2011-12-24,1.19898
2011-12-31,1.17979
2012-01-07,1.30825
2012-01-14,1.04792
2012-01-21,1.14258
2012-01-28,1.04818
2012-02-04,1.09121
2012-02-11,1.04782
2012-02-18,1.09235
2012-02-25,1.31095
2012-03-03,1.21226
2012-03-10,1.28876
2012-03-17,1.30537
2012-03-24,1.17617
2012-03-31,1.07165
2012-04-07,1.27276
2012-04-14,1.14615
2012-04-21,1.08368
2012-04-28,0.948648
2012-05-05,0.995739
2012-05-12,0.871829
2012-05-19,0.856222
2012-05-26,0.677248
2012-06-02,0.681329
2012-06-09,0.573946
2012-06-16,0.536035
2012-06-23,0.585712
2012-06-30,0.551059
2012-07-07,0.622044
2012-07-14,0.475331
2012-07-21,0.427894
2012-07-28,0.43471
2012-08-04,0.425131
2012-08-11,0.347935
2012-08-18,0.37461
2012-08-25,0.487122
2012-09-01,0.482348
2012-09-08,0.554142
2012-09-15,0.639937
2012-09-22,0.683829
2012-09-29,0.770853
2012-10-06,0.965571
2012-10-13,1.21767
2012-10-20,1.30435
2012-10-27,1.2578
2012-11-03,1.17835
2012-11-10,1.35249
2012-11-17,1.31828
2012-11-24,1.72052
2012-12-01,2.03993
2012-12-08,2.35364
2012-12-15,2.82647
2012-12-22,3.82049
2012-12-29,5.50971
2013-01-05,4.52392
2013-01-12,4.7772
2013-01-19,5.32368
2013-01-26,4.6393
2013-02-02,3.82508
2013-02-09,3.5781
2013-02-16,3.71476
2013-02-23,3.43487
2013-03-02,2.77153
2013-03-09,2.98609
2013-03-16,2.86258
2013-03-23,2.53803
2013-03-30,2.1803
2013-04-06,1.92619
2013-04-13,1.61129
2013-04-20,1.39264
2013-04-27,1.4588
2013-05-04,1.43681
2013-05-11,1.26071
2013-05-18,1.33755
2013-05-25,1.18383
2013-06-01,1.37482
2013-06-08,1.14817
2013-06-15,1.21075
2013-06-22,1.16455
2013-06-29,1.13266
2013-07-06,0.743763
2013-07-13,0.968167
2013-07-20,0.877442
2013-07-27,0.877353
2013-08-03,0.888017
2013-08-10,1.15352
2013-08-17,0.765286
2013-08-24,0.801036
2013-08-31,0.82326
2013-09-07,0.672693
2013-09-14,0.676719
2013-09-21,0.885106
2013-09-28,0.84529
2013-10-05,1.60751
2013-10-12,1.69064
2013-10-19,1.96094
2013-10-26,1.69922
2013-11-02,2.01973
2013-11-09,1.78105
2013-11-16,1.54163
2013-11-23,1.85574
2013-11-30,2.02846
2013-12-07,2.02368
2013-12-14,1.77828
2013-12-21,2.23377
2013-12-28,2.93452
2014-01-04,3.33508
2014-01-11,2.746
2014-01-18,3.07594
2014-01-25,2.96352
2014-02-01,3.30294
2014-02-08,3.43908
2014-02-15,3.12549
2014-02-22,2.38968
2014-03-01,2.29577
2014-03-08,2.34059
2014-03-15,2.53132
2014-03-22,2.88815
2014-03-29,3.36103
2014-04-05,3.27897
2014-04-12,3.24824
2014-04-19,2.64559
2014-04-26,2.26093
2014-05-03,1.93125
2014-05-10,2.31498
2014-05-17,2.11871
2014-05-24,1.92708
2014-05-31,2.0679
2014-06-07,2.28772
2014-06-14,2.42802
2014-06-21,2.25842
2014-06-28,2.14216
2014-07-05,1.2183
2014-07-12,2.10032
2014-07-19,2.4807
2014-07-26,1.71497
2014-08-02,1.75775
2014-08-09,1.27839
2014-08-16,1.14079
2014-08-23,1.21291
2014-08-30,1.55421
2014-09-06,1.49242
2014-09-13,1.68177
2014-09-20,1.63851
2014-09-27,2.00253
2014-10-04,1.79583
2014-10-11,1.70441
2014-10-18,2.30625
2014-10-25,2.3166
2014-11-01,1.93681
2014-11-08,2.52737
2014-11-15,2.30887
2014-11-22,2.77034
2014-11-29,2.9469
2014-12-06,2.44648
2014-12-13,2.89594
2014-12-20,3.61748
2014-12-27,5.24892
2015-01-03,4.53391
2015-01-10,4.28873
2015-01-17,4.61791
2015-01-24,5.05069
2015-01-31,5.2279
2015-02-07,5.17198
2015-02-14,4.86393
2015-02-21,3.68552
2015-02-28,3.39765
2015-03-07,2.78587
2015-03-14,2.45948
2015-03-21,2.80665
2015-03-28,2.62266
2015-04-04,2.50236
2015-04-11,2.27622
2015-04-18,1.94961
2015-04-25,1.93505
2015-05-02,1.84629
2015-05-09,1.85969
2015-05-16,1.79159
2015-05-23,1.63654
2015-05-30,1.84731
2015-06-06,1.62516
2015-06-13,1.59308
2015-06-20,1.16801
2015-06-27,1.45487
2015-07-04,1.49921
2015-07-11,1.3606
2015-07-18,1.25046
2015-07-25,1.10433
2015-08-01,1.36927
2015-08-08,1.58666
2015-08-15,1.39358
2015-08-22,1.12294
2015-08-29,1.12921
2015-09-05,1.1994
2015-09-12,1.16127
2015-09-19,1.37077
2015-09-26,1.62828
2015-10-03,1.2988
2015-10-10,1.03278
2015-10-17,0.951433
2015-10-24,1.23018
2015-10-31,1.10278
2015-11-07,1.21684
2015-11-14,1.07336
2015-11-21,1.3633
2015-11-28,1.35069
2015-12-05,1.57092
2015-12-12,1.86092
2015-12-19,1.74541
2015-12-26,2.29498
2016-01-02,2.30133
2016-01-09,1.77591
2016-01-16,2.37764
2016-01-23,2.18428
2016-01-30,2.32815
2016-02-06,2.50124
2016-02-13,3.21581
2016-02-20,2.76832
2016-02-27,3.17342
2016-03-05,3.69465
2016-03-12,4.01335
2016-03-19,4.07985
2016-03-26,3.34526
2016-04-02,2.27089
2016-04-09,1.9742
2016-04-16,2.22224
2016-04-23,2.00991
2016-04-30,1.6754
2016-05-07,1.4765
2016-05-14,1.38879
2016-05-21,1.25627
2016-05-28,1.21486
2016-06-04,0.83189
2016-06-11,0.892695
2016-06-18,0.829248
2016-06-25,0.805577
2016-07-02,0.839301
2016-07-09,0.682034
2016-07-16,0.660509
2016-07-23,0.679526
2016-07-30,0.746436
2016-08-06,0.634354
2016-08-13,0.533826
2016-08-20,0.568049
2016-08-27,0.60012
2016-09-03,0.603582
2016-09-10,0.68985
2016-09-17,0.739722
2016-09-24,0.767777
2016-10-01,0.932667
2016-10-08,1.74499
2016-10-15,1.88524
2016-10-22,1.93008
2016-10-29,2.05051
2016-11-05,2.2409
2016-11-12,2.46429
2016-11-19,2.53078
2016-11-26,3.25846
2016-12-03,3.18884
2016-12-10,3.26288
2016-12-17,3.40303
2016-12-24,4.54373
2016-12-31,6.04479
2017-01-07,5.34376
2017-01-14,5.07086
2017-01-21,5.68166
2017-01-28,6.01053
2017-02-04,6.49829
2017-02-11,6.93759
2017-02-18,5.72327
2017-02-25,4.74394
2017-03-04,3.14868
2017-03-11,3.07779
2017-03-18,3.26144
2017-03-25,3.07912
2017-04-01,3.72855
2017-04-08,3.73
2017-04-15,3.07639
2017-04-22,2.30839
2017-04-29,2.37195
2017-05-06,2.01884
2017-05-13,2.04102
2017-05-20,2.05369
2017-05-27,1.82629
2017-06-03,1.95155
2017-06-10,1.8621
2017-06-17,1.69066
2017-06-24,1.82187
2017-07-01,1.57032
2017-07-08,1.52523
2017-07-15,1.38403
2017-07-22,1.44517
2017-07-29,1.45844
2017-08-05,1.32634
2017-08-12,1.34713
2017-08-19,1.15738
2017-08-26,1.41483
2017-09-02,1.32425
2017-09-09,1.46271
2017-09-16,1.41239
2017-09-23,1.5084
2017-09-30,1.55442
2017-10-07,1.52964
2017-10-14,1.63699
2017-10-21,1.86708
2017-10-28,2.09091
2017-11-04,2.41627
2017-11-11,2.39732
2017-11-18,2.828
2017-11-25,2.83733
2017-12-02,2.97265
2017-12-09,3.15216
2017-12-16,3.59161
2017-12-23,4.3243
2017-12-30,4.52747
2018-01-06,4.93792
2018-01-13,5.89362
2018-01-20,6.831
2018-01-27,8.44625
2018-02-03,9.84631
2018-02-10,10.3506
2018-02-17,10.1735
2018-02-24,7.36484
2018-03-03,4.95815
2018-03-10,4.64753
2018-03-17,3.6831
2018-03-24,3.20794
2018-03-31,3.21338
2018-04-07,2.90488
2018-04-14,2.56448
2018-04-21,2.28189
2018-04-28,2.18437
