date,fluview_wili_jfk
2010-10-09,1.18222
2010-10-16,1.4023
2010-10-23,1.29124
2010-10-30,1.30236
2010-11-06,1.51508
2010-11-13,1.73829
2010-11-20,1.92684
2010-11-27,2.33103
2010-12-04,2.54207
2010-12-11,2.73001
2010-12-18,3.28095
2010-12-25,4.26261
2011-01-01,4.39746
2011-01-08,3.31107
2011-01-15,3.17028
2011-01-22,2.88202
2011-01-29,2.66343
2011-02-05,2.47319
2011-02-12,2.5069
2011-02-19,2.60075
2011-02-26,2.61527
2011-03-05,2.02996
2011-03-12,1.87236
2011-03-19,1.81647
2011-03-26,1.78756
2011-04-02,1.78081
2011-04-09,1.81267
2011-04-16,1.51109
2011-04-23,1.53094
2011-04-30,1.20351
2011-05-07,1.1382
2011-05-14,1.19437
2011-05-21,1.1343
2011-05-28,1.2915
2011-06-04,1.17933
2011-06-11,1.23374
2011-06-18,1.20635
2011-06-25,1.02117
2011-07-02,1.04582
2011-07-09,0.99031
2011-07-16,0.851914
2011-07-23,0.739156
2011-07-30,0.77875
2011-08-06,0.767207
2011-08-13,0.79368
2011-08-20,0.796782
2011-08-27,0.85468
2011-09-03,0.794999
2011-09-10,0.797847
2011-09-17,0.881381
2011-09-24,0.837761
2011-10-01,1.10942
2011-10-08,1.50103
2011-10-15,1.70548
2011-10-22,1.69853
2011-10-29,1.74476
2011-11-05,2.07693
2011-11-12,2.0803
2011-11-19,2.08287
2011-11-26,2.4584
2011-12-03,2.4683
2011-12-10,2.51266
2011-12-17,2.52157
2011-12-24,2.76592
2011-12-31,2.77299
2012-01-07,2.47646
2012-01-14,2.00634
2012-01-21,2.17501
2012-01-28,2.09783
2012-02-04,2.07838
2012-02-11,2.03964
2012-02-18,2.08228
2012-02-25,2.26111
2012-03-03,2.05097
2012-03-10,1.97496
2012-03-17,2.17971
2012-03-24,2.0823
2012-03-31,2.01098
2012-04-07,2.06684
2012-04-14,1.93912
2012-04-21,1.74484
2012-04-28,1.56293
2012-05-05,1.68538
2012-05-12,1.77798
2012-05-19,1.64471
2012-05-26,1.59546
2012-06-02,1.49906
2012-06-09,1.48473
2012-06-16,1.45167
2012-06-23,1.54553
2012-06-30,1.52182
2012-07-07,1.37382
2012-07-14,1.38497
2012-07-21,1.27012
2012-07-28,1.17396
2012-08-04,1.10202
2012-08-11,1.01143
2012-08-18,1.06097
2012-08-25,1.24091
2012-09-01,1.0461
2012-09-08,1.09383
2012-09-15,1.26664
2012-09-22,1.46317
2012-09-29,1.41944
2012-10-06,1.45904
2012-10-13,1.58339
2012-10-20,1.62795
2012-10-27,1.70925
2012-11-03,1.82661
2012-11-10,1.59117
2012-11-17,1.69433
2012-11-24,2.1401
2012-12-01,2.33752
2012-12-08,2.85764
2012-12-15,3.29368
2012-12-22,4.09728
2012-12-29,5.05315
2013-01-05,4.79065
2013-01-12,5.52524
2013-01-19,6.13491
2013-01-26,5.14435
2013-02-02,4.19967
2013-02-09,3.75588
2013-02-16,3.05157
2013-02-23,3.40389
2013-03-02,2.91814
2013-03-09,3.02633
2013-03-16,2.73555
2013-03-23,2.58595
2013-03-30,2.34374
2013-04-06,2.06217
2013-04-13,1.72724
2013-04-20,1.72304
2013-04-27,1.64981
2013-05-04,1.64971
2013-05-11,1.61222
2013-05-18,1.53328
2013-05-25,1.47278
2013-06-01,1.47378
2013-06-08,1.30581
2013-06-15,1.37941
2013-06-22,1.31122
2013-06-29,1.17955
2013-07-06,1.23853
2013-07-13,1.14439
2013-07-20,1.06048
2013-07-27,0.98942
2013-08-03,0.995388
2013-08-10,0.902398
2013-08-17,0.801465
2013-08-24,0.875043
2013-08-31,0.846482
2013-09-07,0.843707
2013-09-14,0.919671
2013-09-21,1.30989
2013-09-28,1.55648
2013-10-05,1.52274
2013-10-12,1.42045
2013-10-19,1.50881
2013-10-26,1.69964
2013-11-02,1.81474
2013-11-09,1.90385
2013-11-16,1.95433
2013-11-23,2.06103
2013-11-30,2.41456
2013-12-07,2.56005
2013-12-14,2.6628
2013-12-21,2.87206
2013-12-28,3.51214
2014-01-04,3.54888
2014-01-11,2.93798
2014-01-18,3.1625
2014-01-25,3.09483
2014-02-01,2.66786
2014-02-08,2.58455
2014-02-15,2.37673
2014-02-22,2.28816
2014-03-01,2.01194
2014-03-08,2.41774
2014-03-15,2.8097
2014-03-22,3.5795
2014-03-29,3.74441
2014-04-05,3.63529
2014-04-12,3.27608
2014-04-19,2.52071
2014-04-26,1.9973
2014-05-03,1.64839
2014-05-10,1.66449
2014-05-17,1.55204
2014-05-24,1.57367
2014-05-31,1.54584
2014-06-07,1.49711
2014-06-14,1.31701
2014-06-21,1.60143
