date,fluview_wili_nat
2010-10-09,1.10939
2010-10-16,1.24341
2010-10-23,1.25726
2010-10-30,1.25734
2010-11-06,1.43414
2010-11-13,1.51838
2010-11-20,1.61617
2010-11-27,1.84378
2010-12-04,1.72535
2010-12-11,1.87923
2010-12-18,2.3371
2010-12-25,3.03533
2011-01-01,3.136
2011-01-08,2.53336
2011-01-15,2.91288
2011-01-22,3.44497
2011-01-29,4.16185
2011-02-05,4.55159
2011-02-12,4.46504
2011-02-19,4.55124
2011-02-26,4.0822
2011-03-05,3.38812
2011-03-12,2.99142
2011-03-19,2.61542
2011-03-26,2.09065
2011-04-02,1.86146
2011-04-09,1.61377
2011-04-16,1.42199
2011-04-23,1.3382
2011-04-30,1.19995
2011-05-07,1.14889
2011-05-14,1.12194
2011-05-21,1.06712
2011-05-28,1.05058
2011-06-04,1.15203
2011-06-11,0.970975
2011-06-18,0.894683
2011-06-25,0.843568
2011-07-02,0.815409
2011-07-09,0.823052
2011-07-16,0.674635
2011-07-23,0.631883
2011-07-30,0.641513
2011-08-06,0.529813
2011-08-13,0.644089
2011-08-20,0.667718
2011-08-27,0.705668
2011-09-03,0.804155
2011-09-10,0.907804
2011-09-17,1.00555
2011-09-24,1.03601
2011-10-01,1.07583
2011-10-08,1.16092
2011-10-15,1.19785
2011-10-22,1.27926
2011-10-29,1.29194
2011-11-05,1.42824
2011-11-12,1.39803
2011-11-19,1.45831
2011-11-26,1.56548
2011-12-03,1.34313
2011-12-10,1.48139
2011-12-17,1.63398
2011-12-24,1.83126
2011-12-31,2.10451
2012-01-07,1.73625
2012-01-14,1.55066
2012-01-21,1.62891
2012-01-28,1.76038
2012-02-04,1.92728
2012-02-11,1.91994
2012-02-18,2.09951
2012-02-25,2.23973
2012-03-03,2.21921
2012-03-10,2.16693
2012-03-17,2.38913
2012-03-24,1.96466
2012-03-31,1.84229
2012-04-07,1.68674
2012-04-14,1.53136
2012-04-21,1.37912
2012-04-28,1.29515
2012-05-05,1.39521
2012-05-12,1.32522
2012-05-19,1.23059
2012-05-26,1.23028
2012-06-02,1.26877
2012-06-09,1.10782
2012-06-16,1.09559
2012-06-23,1.11031
2012-06-30,1.10616
2012-07-07,1.10816
2012-07-14,0.999444
2012-07-21,0.924199
2012-07-28,0.949257
2012-08-04,0.978903
2012-08-11,0.925024
2012-08-18,0.848456
2012-08-25,1.04451
2012-09-01,1.0986
2012-09-08,1.22071
2012-09-15,1.24976
2012-09-22,1.22892
2012-09-29,1.29393
2012-10-06,1.23034
2012-10-13,1.3278
2012-10-20,1.33995
2012-10-27,1.37842
2012-11-03,1.50085
2012-11-10,1.65163
2012-11-17,1.76746
2012-11-24,2.30609
2012-12-01,2.16324
2012-12-08,2.83038
2012-12-15,3.43761
2012-12-22,4.30554
2012-12-29,6.06082
2013-01-05,4.64931
2013-01-12,4.32584
2013-01-19,4.51113
2013-01-26,4.2171
2013-02-02,3.78956
2013-02-09,3.29206
2013-02-16,3.0197
2013-02-23,2.71499
2013-03-02,2.4845
2013-03-09,2.57808
2013-03-16,2.39237
2013-03-23,2.06778
2013-03-30,1.90281
2013-04-06,1.65902
2013-04-13,1.43006
2013-04-20,1.27757
2013-04-27,1.19009
2013-05-04,1.09556
2013-05-11,1.08589
2013-05-18,1.07343
2013-05-25,1.01677
2013-06-01,1.04847
2013-06-08,0.920349
2013-06-15,0.920779
2013-06-22,0.904333
2013-06-29,0.83057
2013-07-06,0.862837
2013-07-13,0.732182
2013-07-20,0.724558
2013-07-27,0.740848
2013-08-03,0.726037
2013-08-10,0.755639
2013-08-17,0.761847
2013-08-24,0.779896
2013-08-31,0.899138
2013-09-07,0.999524
2013-09-14,1.0558
2013-09-21,1.0967
2013-09-28,1.24709
2013-10-05,1.15746
2013-10-12,1.27184
2013-10-19,1.31623
2013-10-26,1.37444
2013-11-02,1.46781
2013-11-09,1.5834
2013-11-16,1.60253
2013-11-23,1.72344
2013-11-30,2.11076
2013-12-07,2.1708
2013-12-14,2.36971
2013-12-21,3.15997
2013-12-28,4.59053
2014-01-04,4.28195
2014-01-11,3.56288
2014-01-18,3.36378
2014-01-25,3.39659
2014-02-01,3.11922
2014-02-08,2.83572
2014-02-15,2.48484
2014-02-22,2.2741
2014-03-01,2.07244
2014-03-08,1.98207
2014-03-15,1.82441
2014-03-22,1.82036
2014-03-29,1.75391
2014-04-05,1.74542
2014-04-12,1.67236
2014-04-19,1.51659
2014-04-26,1.44778
2014-05-03,1.29028
2014-05-10,1.37388
2014-05-17,1.34208
2014-05-24,1.34563
2014-05-31,1.21291
2014-06-07,1.19291
2014-06-14,1.14146
2014-06-21,1.06503
2014-06-28,1.12669
2014-07-05,0.947353
2014-07-12,0.944187
2014-07-19,0.934822
2014-07-26,0.81736
2014-08-02,0.852792
2014-08-09,0.746994
2014-08-16,0.761098
2014-08-23,0.767627
2014-08-30,0.862176
2014-09-06,0.984907
2014-09-13,1.16287
2014-09-20,1.22731
2014-09-27,1.2071
2014-10-04,1.16191
2014-10-11,1.30905
2014-10-18,1.37072
2014-10-25,1.43373
2014-11-01,1.42791
2014-11-08,1.61605
2014-11-15,1.65976
2014-11-22,2.05459
2014-11-29,2.53541
2014-12-06,2.54253
2014-12-13,3.60563
2014-12-20,4.90976
2014-12-27,5.98221
2015-01-03,5.47421
2015-01-10,4.21374
2015-01-17,4.21022
2015-01-24,4.25968
2015-01-31,3.97761
2015-02-07,3.63443
2015-02-14,3.26527
2015-02-21,2.93083
2015-02-28,2.54474
2015-03-07,2.47227
2015-03-14,2.35665
2015-03-21,2.17008
2015-03-28,2.04297
2015-04-04,1.954
2015-04-11,1.72287
2015-04-18,1.53694
2015-04-25,1.38283
2015-05-02,1.46265
2015-05-09,1.38934
2015-05-16,1.3468
2015-05-23,1.25452
2015-05-30,1.21636
2015-06-06,1.16734
2015-06-13,1.04654
2015-06-20,0.943661
2015-06-27,0.935046
2015-07-04,0.934726
2015-07-11,0.864118
2015-07-18,0.806535
2015-07-25,0.742747
2015-08-01,0.737859
2015-08-08,0.743224
2015-08-15,0.805251
2015-08-22,0.816943
